googlecloud,c4large,m4large,t3a_large,t3a_medium,t3a_small,c5large,r4large,t2large,t2medium,t3small,t2small
27.2069242,23.30671358,17.53294492,16.75978518,18.50330496,19.5255084,17.13292551,29.68229651,27.2069242,17.77788782,19.85573363,18.52645969
26.5275681,23.19431758,17.56768465,16.70372796,18.78156018,19.05529094,17.12215614,28.45346522,26.5275681,17.78022814,19.75414038,18.42296839
27.22249341,23.02278709,17.74339581,16.60811234,18.61771941,19.10625219,17.08779407,28.46133161,27.2224934,17.73445821,19.75232339,18.48885155
26.73465824,23.17370296,17.59555435,16.87918806,18.71187973,19.04460669,17.09363723,28.46084118,26.7346582,17.87105536,19.64724445,18.32879186
26.48409319,23.24000955,17.6130569,16.75255513,18.59861779,19.14587045,17.08285785,29.25730777,26.4840932,17.73502088,19.72723985,18.37836742
27.30868816,23.35837173,17.53787613,16.50175595,18.79291129,19.04985905,17.06084394,28.60187602,27.3086882,17.8639698,19.68732643,18.32766938
26.49342132,23.56241131,17.62149668,16.71741223,18.50378013,19.01948404,17.06402659,28.74151158,26.4934213,17.80221653,19.68668914,18.33287525
27.23335528,23.18712187,17.59450197,16.98001266,18.42534757,19.16951823,17.09987664,28.31471586,27.2333553,17.84422898,19.63078403,18.26731944
26.62632585,23.49476409,17.53896499,16.8134501,18.68082356,19.16979074,17.08212924,28.42972016,26.6263258,17.82022977,19.78313184,18.3749764
26.4338448,23.84643221,17.75915003,16.70331383,18.45903563,19.02453327,17.07693815,28.63073611,26.4338448,17.71752691,19.62220192,18.23241925
26.68015337,23.47844887,17.55257273,16.92588496,18.74894643,19.13023186,17.07672858,29.43176556,26.6801534,17.66194987,19.68157125,18.26769543
26.58035588,23.41288638,17.60238218,16.68508959,18.38578057,19.26332331,17.05823541,28.71327543,26.5803559,17.94013262,19.6325767,18.25355339
26.76074433,22.9826827,17.65790415,16.55340028,18.44447207,19.4670639,17.07285953,30.54257393,26.7607443,17.67487788,19.67675257,18.28567982
26.67593718,23.32595301,17.65245008,16.71002698,18.76119304,19.37757111,17.09094644,28.15412593,26.6759372,17.63518262,19.73943233,18.30628538
26.62440276,23.46108794,17.55011058,17.08571696,18.44186234,19.06940293,17.07075906,28.73219705,26.6244028,17.92164469,19.64634228,18.41785359
26.71970606,23.33791351,17.54151702,16.83374238,18.81285906,19.09060955,17.08737731,28.37867403,26.7197061,17.77679396,19.64895654,18.31300664
26.77791047,22.92918658,17.80663514,16.84421325,18.52162576,19.00175047,17.10627508,29.63674021,26.7779105,17.63336372,19.75944471,18.28390431
26.65739155,23.38291168,17.56139612,16.91736341,18.58029103,18.99148417,17.09413028,28.2557826,26.6573915,17.84612751,19.69021177,18.30836415
26.62460566,23.40771198,17.84024835,16.60635996,18.52979541,19.03419185,17.07730317,28.3680346,26.6246057,17.90955138,19.69136953,18.28370857
27.32253313,23.15855503,17.54020357,16.64903808,18.77241373,19.18161321,17.2161026,28.36695313,27.3225331,17.83718061,19.6726613,18.24818373
26.55073714,23.23669672,17.50058985,16.8003118,18.69209099,19.29981303,17.06425023,28.48742461,26.5507371,17.59899449,19.6288445,18.21760583
26.51653862,23.29915547,17.63379431,16.63143754,18.76171947,19.39393592,17.14354658,28.23096108,26.5165386,17.68102622,19.61912131,18.23819733
26.27767754,23.40088964,17.51045656,16.94738102,18.65476751,19.44092321,17.08035278,29.10206008,26.2776775,17.79761028,19.67746735,18.30967784
27.41379023,23.04846549,17.84266973,16.69357681,18.82769227,19.15356946,17.13177633,28.34292436,27.4137902,17.74457359,19.63366151,18.28766656
26.63209629,23.07408094,17.52371049,16.55977869,18.4811604,19.18092012,17.15281248,28.34913087,26.6320963,17.62461734,19.62940383,18.44387603
27.10186934,23.49299431,17.6169014,16.85494471,18.49525189,19.26766515,17.11638117,28.27646375,27.1018693,17.73210692,19.69513845,18.31753898
26.51238918,23.44994807,17.67616439,16.8890605,18.76578712,19.03349948,17.12275696,28.43981934,26.5123892,17.6779604,19.62448645,18.39285183
26.92085028,22.99936152,17.56099463,16.72789836,18.47277188,19.27106929,17.07637858,28.40627217,26.9208503,17.71540999,19.64618754,18.33451772
26.48046994,23.98225141,17.5122776,16.7948041,18.53004384,19.38651514,17.0569191,28.4731853,26.4804699,17.7991786,19.64538932,18.38282895
26.45680618,23.38934183,17.53665996,16.94148827,18.43918061,18.98737359,17.18121123,28.09103394,26.4568062,17.79843545,19.64739108,18.30230737